symbol,quarter,trades,wins,WR_%,exp_R,PF,pass
GBPAUD,2025Q4,35,19,54.29,0.563,2.23,True
GBPAUD,2026Q1,20,11,55.0,0.466,2.07,False
GBPNZD,2023Q1,39,18,46.15,0.234,1.44,False
GBPNZD,2023Q2,49,21,42.86,0.29,1.54,False
GBPNZD,2023Q3,45,20,44.44,0.187,1.34,False
GBPNZD,2023Q4,35,10,28.57,-0.151,0.78,False
GBPNZD,2024Q1,37,11,29.73,-0.121,0.81,False
GBPNZD,2024Q2,43,19,44.19,0.147,1.27,False
GBPNZD,2024Q3,54,28,51.85,0.373,1.78,True
GBPNZD,2024Q4,33,13,39.39,0.138,1.23,False
GBPNZD,2025Q1,59,20,33.9,-0.021,0.97,False
GBPNZD,2025Q2,62,22,35.48,-0.033,0.95,False
GBPNZD,2025Q3,65,23,35.38,0.008,1.01,False
GBPNZD,2025Q4,49,20,40.82,0.154,1.26,False
GBPNZD,2026Q1,30,15,50.0,0.404,1.87,True
GBPCAD,2023Q1,38,17,44.74,0.142,1.26,False
GBPCAD,2023Q2,51,18,35.29,-0.071,0.88,False
GBPCAD,2023Q3,42,20,47.62,0.372,1.74,False
GBPCAD,2023Q4,42,16,38.1,0.138,1.24,False
GBPCAD,2024Q1,48,21,43.75,0.113,1.21,False
GBPCAD,2024Q2,57,23,40.35,0.073,1.13,False
GBPCAD,2024Q3,57,30,52.63,0.43,1.94,True
GBPCAD,2024Q4,48,17,35.42,0.01,1.02,False
GBPCAD,2025Q1,51,21,41.18,0.2,1.38,False
GBPCAD,2025Q2,54,17,31.48,-0.128,0.81,False
GBPCAD,2025Q3,51,22,43.14,0.26,1.47,False
GBPCAD,2025Q4,44,15,34.09,-0.059,0.91,False
GBPCAD,2026Q1,24,10,41.67,0.226,1.42,False
GBPCHF,2023Q1,30,14,46.67,0.187,1.36,False
GBPCHF,2023Q2,59,16,27.12,-0.276,0.61,False
GBPCHF,2023Q3,44,18,40.91,0.138,1.25,False
GBPCHF,2023Q4,54,23,42.59,0.165,1.3,False
GBPCHF,2024Q1,45,16,35.56,-0.017,0.97,False
