y,x,n_windows_traded,n_trades,total_pnl,sharpe,max_dd,hit_rate,avg_dur_days,beta_mean,beta_std,skip_rate
EURCHF,GBPUSD,8,16,0.011421045767298334,0.6958319808002921,-0.026811898250050564,0.4375,9.083333333333334,-0.12432077328623906,0.10589923372975729,0.1111111111111111
NZDCAD,AUDCHF,9,12,0.016103992618856332,0.6482719270362028,-0.013976302928230365,0.75,13.91666666666667,0.1867866891271279,0.1334140368875562,0.0
AUDUSD,EURGBP,7,11,0.03325789707345112,0.6476025879053028,-0.07004193153261096,0.9090909090909091,12.924242424242424,0.12286944127252002,0.7725931564503019,0.2222222222222222
GBPUSD,USDCHF,8,8,0.010967207449917592,0.6159412511587825,-0.009080641084900991,0.625,15.645833333333336,-0.6248586998646128,0.10958389144927971,0.1111111111111111
GBPCHF,USDCHF,8,8,0.010755106274703507,0.5992883369103374,-0.009122503007453058,0.625,15.645833333333336,0.375099993074969,0.10935174077211345,0.1111111111111111
NZDCHF,EURCAD,7,10,0.030814113245462276,0.5842835022518416,-0.042982397083183854,0.6,14.283333333333331,-0.7160121656413061,0.5732161519701123,0.2222222222222222
NZDCAD,NZDUSD,9,10,0.005521533272873115,0.574425813625582,-0.007695357359410904,0.7,15.116666666666665,0.488933466204968,0.15367900919671937,0.0
AUDCAD,AUDNZD,9,11,0.01411471056272003,0.5660563329288033,-0.03634560783792756,0.6363636363636364,12.666666666666668,0.5200613092262363,0.3276346240199674,0.0
GBPUSD,NZDCHF,7,6,0.010610463023388288,0.5461330116905839,-0.026112617674513228,0.6666666666666666,15.722222222222221,-0.18037786311834694,0.29535097528188214,0.2222222222222222
NZDCAD,GBPAUD,8,10,0.009190609720776344,0.50505461287637,-0.018642289941258026,0.7,15.683333333333334,-0.2707990912252133,0.2980719950449908,0.1111111111111111
EURCHF,GBPNZD,8,12,0.008752532480307456,0.49078979295124076,-0.018803229074328222,0.6666666666666666,13.236111111111109,-0.08405114815099834,0.2617881379001569,0.1111111111111111
NZDCHF,EURNZD,8,13,0.01624452068312282,0.4670556642506862,-0.03801700881705863,0.7692307692307693,12.217948717948717,-1.0157935013823307,0.1841323713691737,0.1111111111111111
NZDCAD,EURCHF,9,12,0.01282415239043958,0.3911219380823804,-0.016088517713138982,0.75,13.680555555555555,0.1867073829476594,0.36448002820541986,0.0
NZDCAD,GBPCHF,9,11,0.007649496117427413,0.35852789619711817,-0.015699004784179002,0.7272727272727273,12.969696969696969,0.12393713634869852,0.17260175360600746,0.0
NZDCAD,NZDCHF,9,11,0.007429779157589326,0.34212743908297066,-0.027142219080385534,0.7272727272727273,14.984848484848486,0.2799758086297865,0.16454482165147657,0.0
NZDCAD,AUDNZD,8,9,0.006276213252246258,0.3129426221791165,-0.03603639523445729,0.6666666666666666,13.574074074074074,-0.5217447551074219,0.3217061758480525,0.1111111111111111
EURAUD,USDCHF,8,12,0.004120842007586581,0.11311790385334472,-0.03449458204523327,0.5833333333333334,13.138888888888888,-0.30754239972176756,0.33774191712367174,0.1111111111111111
NZDCAD,CADCHF,9,11,0.0022922313411927334,0.08896468190749382,-0.02635602143905184,0.8181818181818182,14.515151515151514,-0.038020181229037685,0.25284442914187094,0.0
GBPUSD,AUDCHF,7,7,-0.0011653907068351586,-0.046065944385345864,-0.03792370840981492,0.5714285714285714,19.88095238095238,-0.2327717025915575,0.3399491481654358,0.2222222222222222
NZDCAD,CHFJPY,9,13,-0.00285762135032045,-0.1086596066798964,-0.025130657851984213,0.6153846153846154,13.820512820512821,0.037570477582510926,0.20394345256916485,0.0
NZDCAD,EURNZD,9,11,-0.0024938355754319293,-0.1253016528214301,-0.037606845809191304,0.45454545454545453,13.12121212121212,-0.5265532687749113,0.2823940002292765,0.0
EURCHF,GBPCAD,9,14,-0.012932121312022059,-0.46245291814694184,-0.04575823335513487,0.5714285714285714,12.297619047619047,-0.18917623507986403,0.2861790830798409,0.0
GBPUSD,EURAUD,8,6,-0.02087876524560057,-0.8709449968701201,-0.044369475319150996,0.6666666666666666,21.444444444444443,0.01103905727595117,0.5765490270122308,0.1111111111111111
EURCHF,GBPAUD,8,14,-0.02020441345296045,-0.903529798789001,-0.05029724232280265,0.5,10.916666666666668,-0.22899698377071645,0.2503991189223285,0.1111111111111111
EURAUD,AUDCHF,8,16,-0.018886149588123104,-0.9540444743486514,-0.03158193279241634,0.5,7.614583333333333,-0.5850440662159466,0.26025140439079947,0.1111111111111111
