y,x,alpha,beta,adf_p,half_life_bars,resid_std,half_life_hours,max_third,max_third_corr,synthetic_flag
NZDCAD,AUDNZD,-0.14704424183569112,-0.5336858894423601,0.00046488519799504815,110.89134848667649,0.016117492851140072,443.56539394670597,AUDCAD,0.9295903636497185,False
NZDCAD,USDCAD,-0.08385635367595731,-0.3503475614681073,0.0004896177370395285,118.83618847877743,0.017330686194956365,475.3447539151097,AUDCAD,0.7134814121247223,False
EURCHF,GBPJPY,1.1005574838648178,-0.2192407335995596,0.0005717098576909202,118.9693765386573,0.015425492786034231,475.8775061546292,GBPCHF,0.7709879761028193,False
EURCHF,GBPUSD,0.05613479428892423,-0.42072513651448545,0.0005798694364309797,119.4304674367873,0.01597164467605081,477.7218697471492,GBPCHF,0.7586483082021471,False
EURCHF,CHFJPY,1.0946766920750348,-0.22263100199509944,0.0006849055441457815,118.61345602887232,0.012919657042865114,474.4538241154893,EURJPY,0.7280533353070557,False
EURJPY,CHFJPY,1.0949840096702126,0.7773412729272063,0.0007191454076121617,120.35343811381759,0.012923603991759451,481.41375245527036,EURCHF,0.9259197682237659,False
NZDCHF,EURNZD,0.13143285422218456,-1.297277005642034,0.0009183779708531696,111.36796823863112,0.015282230158883999,445.4718729545245,EURCHF,0.882830242612149,False
NZDCAD,USDJPY,0.8662394296896212,-0.2125773516491582,0.0011486562572080008,113.00406459306748,0.015539817773331653,452.01625837226993,AUDCAD,0.737311207197586,False
EURAUD,AUDCHF,0.13314731675021402,-0.6780345777471789,0.0013472939452866658,123.85639987934123,0.01098186848704486,495.4255995173649,EURCHF,0.8327345004237778,False
NZDCAD,NZDUSD,0.03885579096792362,0.4571340677256982,0.0014460781834104458,124.80442864539734,0.010993252287056379,499.21771458158935,AUDCAD,0.5714851016662625,False
NZDCAD,CADJPY,0.7599385781547201,-0.20421628796387142,0.001516941402379734,123.37759091022751,0.016683722083795958,493.51036364091004,NZDUSD,0.828166952009512,False
