window,test_start,test_end,alpha,beta,adf_p,skipped,n_trades,y,x
2,2024-07-01 00:00:00+03:00,2024-10-01 00:00:00+03:00,-0.5593132518737177,0.6784610988961433,0.009478409554140168,,1.0,NZDCAD,GBPCAD
3,2024-10-01 00:00:00+03:00,2025-01-01 00:00:00+02:00,-0.4177811757493738,0.4177850798202446,0.009336704349343698,,1.0,NZDCAD,GBPCAD
4,2025-01-01 00:00:00+02:00,2025-04-01 00:00:00+03:00,-0.2888898067382416,0.18001802936847458,0.07380360343715535,,1.0,NZDCAD,GBPCAD
5,2025-04-01 00:00:00+03:00,2025-07-01 00:00:00+03:00,-0.20250032150378627,0.019338593416390597,0.019225454042612014,,0.0,NZDCAD,GBPCAD
6,2025-07-01 00:00:00+03:00,2025-10-01 00:00:00+03:00,-0.15912893609389933,-0.0581912044061375,0.002926511512212613,,3.0,NZDCAD,GBPCAD
7,2025-10-01 00:00:00+03:00,2026-01-01 00:00:00+02:00,-0.20894183208444192,0.01688070696296178,0.00017854665584335656,,1.0,NZDCAD,GBPCAD
8,2026-01-01 00:00:00+02:00,2026-04-01 00:00:00+03:00,-0.29908564492117773,0.15047581832356932,0.030957571201165983,,1.0,NZDCAD,GBPCAD
0,2024-01-01 00:00:00+02:00,2024-04-01 00:00:00+03:00,0.09066587896351981,-0.24614419352997158,0.0147990262965279,,2.0,GBPUSD,AUDCHF
1,2024-04-01 00:00:00+03:00,2024-07-01 00:00:00+03:00,0.22545935247186055,-0.005349801604973683,0.018347438739389224,,0.0,GBPUSD,AUDCHF
2,2024-07-01 00:00:00+03:00,2024-10-01 00:00:00+03:00,0.3134043749562101,0.15308020107627165,0.034560713285300845,,1.0,GBPUSD,AUDCHF
3,2024-10-01 00:00:00+03:00,2025-01-01 00:00:00+02:00,0.24370202446273104,0.012071403618823123,0.2523717683545865,adf_gate,,GBPUSD,AUDCHF
4,2025-01-01 00:00:00+02:00,2025-04-01 00:00:00+03:00,0.18216578666119676,-0.11628521783960448,0.08188373487190875,,1.0,GBPUSD,AUDCHF
