entry_time,exit_time,side,entry_spread,exit_spread,entry_z,exit_z,gross_pnl,cost,net_pnl,duration_bars,duration_days,exit_reason,y,x
2024-11-13 19:00:00+02:00,2025-01-22 15:00:00+02:00,1,0.002548573735535964,-0.009280782726652226,-2.20917166794907,-0.4501357091716462,-0.01182935646218819,0.005383333333333334,-0.017212689795521523,287,47.833333333333336,mean_revert,NZDCAD,EURJPY
2025-03-10 11:00:00+02:00,2025-03-31 00:00:00+03:00,-1,-0.0007073973363894703,-0.008187415057901548,2.032367533102427,0.3233503227152443,0.007480017721512078,0.0021,0.005380017721512078,90,15.0,mean_revert,NZDCAD,EURJPY
2025-04-04 20:00:00+03:00,2025-04-14 00:00:00+03:00,1,-0.03669785543903126,-0.01645817524555404,-2.7953179184202694,-0.4250452394072521,0.020239680193477216,0.00115,0.019089680193477218,33,5.5,mean_revert,NZDCAD,EURJPY
2025-06-30 20:00:00+03:00,2025-07-07 08:00:00+03:00,-1,0.017761159570571894,0.0064774615262988,2.0193016232748775,0.3266004406812101,0.011283698044273094,0.0010666666666666667,0.010217031377606427,28,4.666666666666667,mean_revert,NZDCAD,EURJPY
2025-08-20 08:00:00+03:00,2025-09-05 16:00:00+03:00,1,-0.005590833882094026,0.004297637144464184,-2.53831516712476,-0.04539074693308751,0.00988847102655821,0.0018666666666666666,0.008021804359891544,76,12.666666666666666,mean_revert,NZDCAD,EURJPY
2025-09-25 16:00:00+03:00,2025-10-02 04:00:00+03:00,1,-0.009813583902577694,-0.00019785335653066394,-2.0278229276665987,-0.35519588561514553,0.00961573054604703,0.0010666666666666667,0.008549063879380363,28,4.666666666666667,mean_revert,NZDCAD,EURJPY
2025-11-04 11:00:00+02:00,2025-11-26 03:00:00+02:00,1,-0.01629640995242132,-0.009913898755914863,-2.0323277149549552,-0.37865962338932724,0.006382511196506457,0.0021666666666666666,0.004215844529839791,94,15.666666666666666,mean_revert,NZDCAD,EURJPY
2026-01-20 07:00:00+02:00,2026-03-02 15:00:00+02:00,-1,0.005714082768502937,0.010801004774191214,2.578255118190162,0.4536793695660279,-0.005086922005688277,0.003533333333333333,-0.00862025533902161,176,29.333333333333332,mean_revert,NZDCAD,EURJPY
2022-09-23 16:00:00+03:00,2022-10-01 00:00:00+03:00,1,-0.06545548176316049,-0.03545064205973386,-2.025289012938415,-0.3276483673374338,0.030004839703426628,0.00115,0.02885483970342663,33,5.5,mean_revert,EURCHF,GBPCAD
2022-10-25 16:00:00+03:00,2023-01-05 15:00:00+02:00,-1,-0.005140535443492661,-7.696197519033166e-05,2.026950350182855,0.4662726702749153,-0.005063573468302329,0.0057,-0.01076357346830233,306,51.0,mean_revert,EURCHF,GBPCAD
2023-01-13 03:00:00+02:00,2023-02-06 11:00:00+02:00,-1,0.027482594903489616,0.010368712914129108,2.020721462641032,0.3054548318759038,0.017113881989360508,0.0022333333333333333,0.014880548656027174,98,16.333333333333332,mean_revert,EURCHF,GBPCAD
2023-03-23 03:00:00+02:00,2023-03-24 11:00:00+02:00,-1,0.02992026200875547,0.015922239784578684,2.135285667532491,0.33182246716813296,0.013998022224176787,0.0007333333333333332,0.013264688890843455,8,1.3333333333333333,mean_revert,EURCHF,GBPCAD
2023-05-22 12:00:00+03:00,2023-06-13 12:00:00+03:00,1,-0.0016634775943823454,0.00946929663294907,-2.1179014656495596,-0.23283010446989222,0.011132774227331416,0.00225,0.008882774227331415,99,16.5,mean_revert,EURCHF,GBPCAD
2023-07-19 16:00:00+03:00,2023-08-18 20:00:00+03:00,1,-0.0037720003795277124,-0.0008876772741799044,-2.1334939029388504,-0.45740534606329636,0.002884323105347808,0.0028833333333333332,9.897720144747685e-07,137,22.833333333333332,mean_revert,EURCHF,GBPCAD
2023-09-14 16:00:00+03:00,2023-10-06 12:00:00+03:00,1,-0.01541900496769219,-0.008331306911176312,-2.001751498052916,-0.46695584110226085,0.007087698056515879,0.0022333333333333333,0.004854364723182545,98,16.333333333333332,mean_revert,EURCHF,GBPCAD
2023-10-13 16:00:00+03:00,2023-10-30 11:00:00+02:00,1,-0.02128975237444919,-0.014784962237360755,-2.296933538244381,-0.4875501916723256,0.006504790137088434,0.0017333333333333333,0.004771456803755101,68,11.333333333333334,mean_revert,EURCHF,GBPCAD
2023-11-14 19:00:00+02:00,2023-11-30 15:00:00+02:00,-1,0.005612333448389628,-0.006004005010382757,2.2192877376354865,0.4801219090311524,0.011616338458772385,0.0017833333333333334,0.009833005125439052,71,11.833333333333334,mean_revert,EURCHF,GBPCAD
2023-12-27 23:00:00+02:00,2024-01-17 15:00:00+02:00,1,-0.033005017538970366,-0.02324994478172096,-2.04344922818467,-0.43683169431957547,0.009755072757249406,0.0019666666666666665,0.007788406090582739,82,13.666666666666666,mean_revert,EURCHF,GBPCAD
2024-03-06 11:00:00+02:00,2024-04-19 04:00:00+03:00,-1,0.002964640042076222,0.0005116797279086926,2.0362558869342724,0.42777385592879763,0.0024529603141675294,0.0038666666666666663,-0.001413706352499137,196,32.666666666666664,mean_revert,EURCHF,GBPCAD
2024-05-21 04:00:00+03:00,2024-06-04 12:00:00+03:00,-1,0.031641048435376656,0.01775321635211155,2.0331522558657853,0.38538624253089226,0.013887832083265106,0.0016666666666666666,0.012221165416598439,64,10.666666666666666,mean_revert,EURCHF,GBPCAD
2024-06-14 16:00:00+03:00,2024-07-01 12:00:00+03:00,1,-0.005082334950760131,0.01136063975723739,-2.2197405313207392,-0.30171677075590075,0.01644297470799752,0.0017333333333333333,0.014709641374664188,68,11.333333333333334,mean_revert,EURCHF,GBPCAD
2024-08-01 12:00:00+03:00,2024-08-15 20:00:00+03:00,1,-0.006937956622521585,0.0064698602664029214,-2.1383549923185066,-0.36204982515185374,0.013407816888924506,0.0016666666666666666,0.01174115022225784,64,10.666666666666666,mean_revert,EURCHF,GBPCAD
2024-11-19 11:00:00+02:00,2024-12-11 03:00:00+02:00,1,-0.01921920150512066,-0.012936920650139766,-2.38422977656383,-0.4618575530744868,0.006282280854980893,0.0021666666666666666,0.004115614188314226,94,15.666666666666666,mean_revert,EURCHF,GBPCAD
2025-01-24 19:00:00+02:00,2025-02-04 15:00:00+02:00,-1,0.0052425874319619314,-0.00774859561338756,2.6507884647715754,0.40617216785253485,0.012991183045349491,0.0012833333333333334,0.011707849712016157,41,6.833333333333333,mean_revert,EURCHF,GBPCAD
2025-03-04 23:00:00+02:00,2025-03-05 19:00:00+02:00,-1,0.009408088389866426,0.02746149878145543,2.6384804342243475,4.841813641479188,-0.018053410391589003,0.0006833333333333333,-0.018736743724922338,5,0.8333333333333334,stop_z,EURCHF,GBPCAD
2025-03-05 23:00:00+02:00,2025-03-06 03:00:00+02:00,-1,0.0274238719067659,0.02934452348376901,4.713385164944839,4.837393086193229,-0.0019206515770031074,0.0006166666666666666,-0.002537318243669774,1,0.16666666666666666,stop_z,EURCHF,GBPCAD
