y,x,beta,half_life_hours,n_trades,total_pnl,avg_pnl,hit_rate,sharpe,max_dd,avg_duration_days,n_trades_is,total_pnl_is,avg_pnl_is,hit_rate_is,sharpe_is,max_dd_is,avg_duration_days_is,n_trades_oos,total_pnl_oos,avg_pnl_oos,hit_rate_oos,sharpe_oos,max_dd_oos,avg_duration_days_oos
GBPUSD,AUDCHF,-0.4667752716169911,423.1102479296611,25,0.23918776231910324,0.00956751049276413,0.84,1.4672545561335084,-0.027815482804580294,16.986666666666668,21,0.2663295855305975,0.012682361215742738,0.9047619047619048,4.840708736941113,-0.027815482804580294,15.547619047619046,2,0.0016690292466466188,0.0008345146233233094,0.5,0.3690842719329915,0.0,30.083333333333336
NZDCAD,GBPCHF,0.3728103057961126,413.1494830393756,21,0.06211999776434737,0.002958095131635589,0.7619047619047619,0.8223018980101083,-0.08296138296736404,18.341269841269842,18,0.05316099334352767,0.0029533885190848705,0.7777777777777778,0.7667448095788042,-0.042909692252352624,18.472222222222225,2,0.0006088816471250223,0.00030444082356251116,0.5,0.12751687433602324,-0.007556628061783029,16.833333333333332
GBPCHF,EURUSD,-0.4440010456971678,384.0445715477396,15,0.025608424886017712,0.001707228325734514,0.6,0.20336809335651043,-0.055426393973706564,18.77777777777778,12,0.022712875827489667,0.0018927396522908056,0.5833333333333334,0.45721130492821377,-0.05289648272817562,20.083333333333332,1,0.0030561249450776263,0.0030561249450776263,1.0,0.0,0.0,22.5
NZDCAD,GBPCAD,-0.1748359268950975,416.2160209059738,18,0.00941711088526111,0.0005231728269589506,0.6666666666666666,0.1259875242519147,-0.07187027724111546,21.601851851851855,16,0.01685958023079122,0.0010537237644244512,0.75,0.24582525255177504,-0.02457973202504428,20.489583333333332,1,-0.0024950407940912715,-0.0024950407940912715,0.0,0.0,0.0,27.0
NZDCAD,EURCAD,-0.1903732643097429,403.4539493399683,19,0.016573242042171588,0.0008722758969563994,0.7368421052631579,0.2045300666709921,-0.08666589054803259,19.29824561403509,17,0.02241078162704122,0.0013182812721788952,0.8235294117647058,0.2983968132581548,-0.03403055011955432,18.549019607843135,1,-0.005661778566201208,-0.005661778566201208,0.0,0.0,0.0,27.166666666666668
EURCHF,GBPUSD,-0.4207251365144854,477.7218697471492,24,0.12989846847129075,0.005412436186303781,0.5416666666666666,2.392170552661197,-0.025015092968782945,13.430555555555555,22,0.09634593769746824,0.004379360804430374,0.5454545454545454,2.2166753285535807,-0.025015092968782945,12.856060606060607,1,-0.0004131336152175965,-0.0004131336152175965,0.0,0.0,0.0,30.666666666666668
NZDCAD,AUDJPY,-0.1083388444890112,482.19967573144544,25,0.020815200973505938,0.0008326080389402375,0.48,0.31602890064460537,-0.04569476044584776,14.573333333333334,23,0.032725347953851465,0.0014228412153848462,0.5217391304347826,0.5466858475349669,-0.04569476044584776,13.362318840579709,1,-0.006791385925634506,-0.006791385925634506,0.0,0.0,0.0,30.166666666666668
GBPCHF,EURCAD,-0.3808110533746114,490.6022050318596,18,0.15659940493622332,0.008699966940901296,0.7777777777777778,3.317352129035634,-0.02529132581090615,15.40740740740741,15,0.10335781300865295,0.006890520867243529,0.8,2.8866329388105676,-0.02529132581090615,14.988888888888889,1,-0.0005303149744490978,-0.0005303149744490978,0.0,0.0,0.0,28.333333333333332
NZDCAD,EURNZD,-0.261441382617184,387.3979633973387,18,0.005924023757660671,0.0003291124309811484,0.7777777777777778,0.0827483972497383,-0.07494516878376734,18.72222222222222,16,0.007534800161206147,0.0004709250100753842,0.8125,0.11295929272145051,-0.014808412276698109,18.260416666666668,1,-0.004589953168308597,-0.004589953168308597,0.0,0.0,0.0,26.833333333333332
NZDCAD,EURJPY,-0.1838462869594315,359.75610114120764,20,0.030649294396471335,0.0015324647198235667,0.7,0.47063173717462575,-0.041646991958461596,17.233333333333338,18,0.04409826487368031,0.0024499036040933502,0.7777777777777778,0.7445929881071377,-0.024226769393765734,16.351851851851855,1,-0.00862025533902161,-0.00862025533902161,0.0,0.0,0.0,29.333333333333332
