symbol,samples,median_pips,mean_pips,max_pips,median_points,max_points
NOW,20,1.3,1.3,1.3,13.0,13
ACGL,20,1.3,1.3,1.3,13.0,13
ROKU,20,1.3,1.3,1.3,13.0,13
SLG,20,1.3,1.3,1.3,13.0,13
AEE,20,1.3,1.3,1.3,13.0,13
OMC,20,1.3,1.3,1.3,13.0,13
D,20,1.3,1.3,1.3,13.0,13
DD,20,1.3,1.3,1.3,13.0,13
SCHW,20,1.3,1.3,1.3,13.0,13
DHC,20,1.3,1.3,1.3,13.0,13
UAL,20,1.3,1.3,1.3,13.0,13
PEP,20,1.3,1.3,1.3,13.0,13
AUDUSD.i,20,1.3,1.285,1.4,13.0,14
EIX,20,1.3,1.3,1.3,13.0,13
EURJPY.i,20,1.3,1.335,1.6,13.0,16
EQT,20,1.3,1.3,1.3,13.0,13
USDCHF.i,20,1.35,1.3299999999999998,1.5,13.5,15
SRE,20,1.4,1.4,1.4,14.0,14
HIMX,20,1.4,1.4,1.4,14.0,14
MET,20,1.4,1.4,1.4,14.0,14
BNK-AMER.i,20,1.4,1.4,1.4,14.0,14
BMW.i,20,1.4,1.3199999999999998,1.4,14.0,14
NETFLIX.i,20,1.4,1.4,1.4,14.0,14
ADAUSD.i,20,1.4,1.4049999999999998,1.5,14.0,15
FOX,20,1.4,1.4,1.4,14.0,14
ABT,20,1.4,1.4,1.4,14.0,14
NEE,20,1.4,1.4,1.4,14.0,14
AA,20,1.4,1.4,1.4,14.0,14
BBY,20,1.4,1.4,1.4,14.0,14
FORD.i,20,1.4,1.4,1.4,14.0,14
PFIZER.i,20,1.4,1.4,1.4,14.0,14
UBER.i,20,1.4,1.4,1.4,14.0,14
MEOH,20,1.4,1.4,1.4,14.0,14
EURCHF.i,20,1.4,1.415,1.5,14.0,15
FE,20,1.4,1.4,1.4,14.0,14
SNPS,20,1.4,1.4,1.4,14.0,14
CRTO,20,1.4,1.4,1.4,14.0,14
TNET,20,1.4,1.4,1.4,14.0,14
AT&T.i,20,1.4,1.4,1.4,14.0,14
CLX,20,1.4,1.4,1.4,14.0,14
