exit_time,symbol,net_$,equity_$,drawdown_%
2023-01-31 16:50:00,GBPCAD,6.4,1194.85,-2.19
2023-01-31 17:40:00,EURCAD,5.7,1200.55,-1.73
2023-02-01 01:45:00,GBPCAD,10.06,1210.61,-0.9
2023-02-01 02:20:00,EURJPY,-0.76,1209.85,-0.96
2023-02-01 17:00:00,EURCAD,-2.49,1207.36,-1.17
2023-02-01 16:50:00,GBPUSD,3.63,1210.99,-0.87
2023-02-01 21:35:00,EURCAD,9.19,1220.18,-0.12
2023-02-01 21:45:00,AUDCAD,7.47,1227.65,0.0
2023-02-01 19:00:00,XAUUSD,-13.49,1214.16,-1.1
2023-02-01 21:40:00,XAUUSD,19.9,1234.06,0.0
2023-02-02 23:05:00,GBPCAD,7.01,1241.07,0.0
2023-02-02 15:35:00,USDMXN,3.41,1244.48,0.0
2023-02-02 18:45:00,USDMXN,-3.82,1240.66,-0.31
2023-02-03 14:15:00,XAUUSD,-2.13,1238.53,-0.48
2023-02-03 15:25:00,XAUUSD,4.11,1242.64,-0.15
2023-02-03 15:30:00,GBPUSD,4.36,1247.0,0.0
2023-02-03 15:30:00,EURCAD,4.74,1251.74,0.0
2023-02-03 15:30:00,GBPCAD,7.32,1259.06,0.0
2023-02-03 15:30:00,XAUUSD,14.96,1274.02,0.0
2023-02-03 15:30:00,EURJPY,1.18,1275.2,0.0
2023-02-03 23:35:00,EURCAD,10.2,1285.4,0.0
2023-02-03 23:35:00,GBPUSD,22.94,1308.34,0.0
2023-02-03 23:35:00,XAUUSD,62.44,1370.78,0.0
2023-02-03 15:45:00,EURJPY,4.61,1375.39,0.0
2023-02-03 17:15:00,EURJPY,12.98,1388.37,0.0
2023-02-06 01:10:00,GBPCAD,8.53,1396.9,0.0
2023-02-06 01:25:00,EURJPY,1.51,1398.41,0.0
2023-02-06 15:50:00,EURJPY,3.4,1401.81,0.0
2023-02-06 15:50:00,AUDCAD,2.08,1403.89,0.0
2023-02-06 16:20:00,GBPCAD,-3.43,1400.46,-0.24
2023-02-06 17:40:00,GBPUSD,7.99,1408.45,0.0
2023-02-06 16:10:00,USDMXN,3.8,1412.25,0.0
2023-02-06 18:10:00,EURCAD,2.97,1415.22,0.0
2023-02-06 18:45:00,EURJPY,-2.4,1412.82,-0.17
2023-02-06 17:20:00,USDMXN,10.32,1423.14,0.0
2023-02-06 17:50:00,GBPCAD,5.16,1428.3,0.0
2023-02-07 02:05:00,GBPUSD,-3.5,1424.8,-0.25
2023-02-07 03:05:00,EURCAD,-2.67,1422.13,-0.43
2023-02-06 22:15:00,GBPCAD,-4.84,1417.29,-0.77
2023-02-06 21:50:00,XAUUSD,6.61,1423.9,-0.31
2023-02-07 06:00:00,USDMXN,-1.43,1422.47,-0.41
2023-02-07 03:00:00,XAUUSD,-10.36,1412.11,-1.13
2023-02-07 15:40:00,EURCAD,-1.73,1410.38,-1.25
2023-02-07 17:45:00,GBPUSD,-5.26,1405.12,-1.62
2023-02-07 15:45:00,GBPCAD,-3.89,1401.23,-1.9
2023-02-07 19:50:00,EURCAD,-4.04,1397.19,-2.18
2023-02-08 02:10:00,AUDCAD,3.04,1400.23,-1.97
2023-02-07 19:45:00,GBPCAD,-3.94,1396.29,-2.24
2023-02-09 20:45:00,AUDCAD,-2.38,1393.91,-2.41
2023-02-09 21:45:00,EURJPY,3.43,1397.34,-2.17
2023-02-10 22:05:00,USDMXN,11.24,1408.58,-1.38
2023-02-10 15:30:00,GBPCAD,6.55,1415.13,-0.92
2023-02-10 16:55:00,EURJPY,-5.29,1409.84,-1.29
2023-02-10 15:30:00,EURCAD,6.9,1416.74,-0.81
2023-02-10 19:40:00,GBPCAD,10.9,1427.64,-0.05
2023-02-13 00:40:00,EURCAD,4.6,1432.24,0.0
2023-02-13 01:10:00,GBPUSD,9.68,1441.92,0.0
2023-02-13 01:20:00,EURJPY,-2.18,1439.74,-0.15
2023-02-10 22:30:00,XAUUSD,2.7,1442.44,0.0
2023-02-13 14:05:00,XAUUSD,2.68,1445.12,0.0
2023-02-13 14:30:00,XAUUSD,-5.89,1439.23,-0.41
2023-02-13 17:50:00,EURJPY,5.92,1445.15,0.0
2023-02-13 20:45:00,USDMXN,6.83,1451.98,0.0
2023-02-13 22:40:00,EURJPY,-5.88,1446.1,-0.4
2023-02-13 21:25:00,XAUUSD,3.35,1449.45,-0.17
2023-02-14 02:15:00,XAUUSD,-6.37,1443.08,-0.61
2023-02-14 15:10:00,USDMXN,-3.13,1439.95,-0.83
2023-02-14 16:25:00,GBPUSD,-19.5,1420.45,-2.17
2023-02-14 16:30:00,USDMXN,-18.63,1401.82,-3.45
2023-02-14 23:40:00,EURJPY,7.45,1409.27,-2.94
2023-02-14 16:30:00,XAUUSD,33.49,1442.76,-0.63
2023-02-15 00:55:00,USDMXN,6.44,1449.2,-0.19
2023-02-15 01:05:00,GBPUSD,-4.88,1444.32,-0.53
2023-02-15 01:10:00,EURCAD,0.75,1445.07,-0.48
2023-02-15 03:50:00,XAUUSD,-9.25,1435.82,-1.11
2023-02-15 17:15:00,EURJPY,2.6,1438.42,-0.93
2023-02-15 23:25:00,GBPUSD,0.84,1439.26,-0.88
2023-02-15 23:35:00,GBPCAD,0.92,1440.18,-0.81
2023-02-15 20:30:00,EURCAD,4.28,1444.46,-0.52
2023-02-16 01:30:00,EURJPY,-0.71,1443.75,-0.57
2023-02-16 15:30:00,GBPCAD,4.14,1447.89,-0.28
2023-02-16 15:45:00,GBPUSD,8.43,1456.32,0.0
2023-02-16 15:35:00,EURJPY,-1.98,1454.34,-0.14
2023-02-16 15:50:00,GBPCAD,4.91,1459.25,0.0
2023-02-16 18:25:00,EURJPY,-2.52,1456.73,-0.17
2023-02-16 17:10:00,GBPCAD,-8.11,1448.62,-0.73
2023-02-16 17:35:00,GBPUSD,-6.88,1441.74,-1.2
2023-02-16 20:00:00,USDMXN,12.76,1454.5,-0.33
2023-02-17 02:25:00,GBPUSD,8.75,1463.25,0.0
2023-02-16 20:35:00,EURJPY,-1.74,1461.51,-0.12
2023-02-16 23:00:00,USDMXN,-2.98,1458.53,-0.32
2023-02-17 15:45:00,XAUUSD,-2.66,1455.87,-0.5
2023-02-17 15:40:00,AUDCAD,0.96,1456.83,-0.44
2023-02-17 16:15:00,AUDCAD,-2.18,1454.65,-0.59
2023-02-17 17:00:00,XAUUSD,-7.1,1447.55,-1.07
2023-02-17 17:00:00,GBPUSD,-4.3,1443.25,-1.37
2023-02-17 17:00:00,AUDCAD,-1.43,1441.82,-1.46
2023-02-17 23:00:00,EURJPY,2.8,1444.62,-1.27
2023-02-20 23:10:00,EURCAD,-1.38,1443.24,-1.37
2023-02-21 01:00:00,USDMXN,0.81,1444.05,-1.31
2023-02-20 19:45:00,EURJPY,1.88,1445.93,-1.18
2023-02-21 15:30:00,GBPCAD,4.09,1450.02,-0.9
2023-02-21 21:20:00,EURJPY,-3.36,1446.66,-1.13
2023-02-21 23:35:00,GBPCAD,7.73,1454.39,-0.61
2023-02-22 01:50:00,XAUUSD,0.6,1454.99,-0.56
2023-02-22 02:10:00,AUDCAD,-0.38,1454.61,-0.59
2023-02-21 20:10:00,USDMXN,-4.85,1449.76,-0.92
2023-02-22 17:45:00,GBPCAD,-2.47,1447.29,-1.09
2023-02-22 19:00:00,AUDCAD,2.37,1449.66,-0.93
2023-02-22 17:50:00,GBPUSD,5.36,1455.02,-0.56
2023-02-22 20:25:00,EURCAD,4.88,1459.9,-0.23
2023-02-23 02:15:00,GBPUSD,3.28,1463.18,-0.0
2023-02-23 05:50:00,USDMXN,0.86,1464.04,0.0
2023-02-23 15:20:00,AUDCAD,-1.24,1462.8,-0.08
2023-02-23 16:20:00,AUDCAD,-1.5,1461.3,-0.19
2023-02-23 16:45:00,GBPUSD,-4.82,1456.48,-0.52
2023-02-23 16:35:00,EURJPY,-2.3,1454.18,-0.67
