exit_time,symbol,net_$,equity_$,drawdown_%
2026-04-08 16:00:00,GBPCAD,-4.18,1415.07,-0.41
2026-04-08 21:05:00,EURJPY,-2.0,1413.07,-0.55
2026-04-08 17:50:00,EURCAD,-1.91,1411.16,-0.69
2026-04-08 19:35:00,GBPCAD,-3.28,1407.88,-0.92
2026-04-08 19:35:00,EURCAD,-2.34,1405.54,-1.08
2026-04-09 15:30:00,GBPCAD,-2.95,1402.59,-1.29
2026-04-09 17:50:00,GBPUSD,-2.71,1399.88,-1.48
2026-04-09 18:20:00,EURJPY,3.84,1403.72,-1.21
2026-04-09 17:55:00,AUDCAD,2.04,1405.76,-1.07
2026-04-09 16:50:00,GBPCAD,-2.78,1402.98,-1.26
2026-04-09 17:25:00,GBPCAD,-2.79,1400.19,-1.46
2026-04-09 19:15:00,GBPCAD,3.59,1403.78,-1.21
2026-04-10 02:05:00,EURCAD,0.41,1404.19,-1.18
2026-04-10 02:35:00,GBPUSD,-1.86,1402.33,-1.31
2026-04-10 00:40:00,GBPCAD,-4.72,1397.61,-1.64
2026-04-10 18:20:00,EURCAD,4.03,1401.64,-1.36
2026-04-13 00:00:00,EURJPY,-3.99,1397.65,-1.64
2026-04-10 23:40:00,GBPCAD,5.45,1403.1,-1.25
2026-04-13 00:00:00,GBPUSD,-4.13,1398.97,-1.54
2026-04-13 00:00:00,EURCAD,-5.07,1393.9,-1.9
2026-04-10 21:50:00,AUDCAD,1.15,1395.05,-1.82
2026-04-13 00:00:00,USDMXN,-3.73,1391.32,-2.08
2026-04-13 17:25:00,EURCAD,-2.06,1389.26,-2.23
2026-04-13 18:05:00,GBPCAD,-2.67,1386.59,-2.42
2026-04-13 20:15:00,USDMXN,6.05,1392.64,-1.99
2026-04-13 16:50:00,GBPUSD,6.28,1398.92,-1.55
2026-04-13 20:20:00,AUDCAD,3.9,1402.82,-1.27
2026-04-13 21:55:00,EURJPY,5.6,1408.42,-0.88
2026-04-13 19:45:00,XAUUSD,-42.04,1366.38,-3.84
2026-04-13 19:45:00,GBPUSD,5.79,1372.17,-3.43
2026-04-13 21:00:00,GBPCAD,3.25,1375.42,-3.2
2026-04-14 15:35:00,EURJPY,-1.19,1374.23,-3.29
2026-04-14 16:00:00,GBPCAD,-2.57,1371.66,-3.47
2026-04-14 18:45:00,GBPUSD,-3.95,1367.71,-3.74
2026-04-14 17:05:00,EURJPY,-1.71,1366.0,-3.86
2026-04-15 00:40:00,EURCAD,0.59,1366.59,-3.82
2026-04-15 01:00:00,GBPCAD,0.28,1366.87,-3.8
2026-04-15 01:50:00,EURJPY,-1.04,1365.83,-3.88
2026-04-14 19:10:00,USDMXN,-2.46,1363.37,-4.05
2026-04-15 04:10:00,USDMXN,0.41,1363.78,-4.02
2026-04-15 17:20:00,GBPUSD,3.52,1367.3,-3.77
2026-04-15 15:05:00,GBPCAD,-1.5,1365.8,-3.88
2026-04-15 23:05:00,EURJPY,1.45,1367.25,-3.78
2026-04-15 15:20:00,EURCAD,-1.91,1365.34,-3.91
2026-04-16 01:45:00,GBPUSD,-1.54,1363.8,-4.02
2026-04-16 17:30:00,EURJPY,1.48,1365.28,-3.92
2026-04-17 01:55:00,EURJPY,0.38,1365.66,-3.89
2026-04-17 15:45:00,GBPUSD,5.86,1371.52,-3.48
2026-04-17 18:05:00,EURCAD,-5.31,1366.21,-3.85
2026-04-17 20:05:00,GBPUSD,-2.6,1363.61,-4.03
2026-04-20 16:25:00,XAUUSD,-38.01,1325.6,-6.71
2026-04-20 16:40:00,GBPUSD,3.2,1328.8,-6.48
2026-04-20 17:30:00,XAUUSD,-28.85,1299.95,-8.51
2026-04-21 02:25:00,GBPUSD,-0.6,1299.35,-8.56
2026-04-21 15:15:00,XAUUSD,19.24,1318.59,-7.2
2026-04-21 17:40:00,XAUUSD,58.7,1377.29,-3.07
2026-04-21 20:10:00,EURJPY,-1.85,1375.44,-3.2
2026-04-21 18:00:00,GBPUSD,-3.8,1371.64,-3.47
2026-04-22 17:20:00,EURCAD,2.09,1373.73,-3.32
2026-04-22 16:15:00,GBPUSD,1.7,1375.43,-3.2
2026-04-22 16:40:00,USDMXN,2.35,1377.78,-3.04
2026-04-23 00:20:00,GBPUSD,-1.16,1376.62,-3.12
2026-04-23 01:25:00,EURCAD,1.91,1378.53,-2.98
2026-04-23 20:05:00,XAUUSD,40.82,1419.35,-0.11
2026-04-23 17:05:00,EURCAD,-1.53,1417.82,-0.22
2026-04-23 20:05:00,GBPUSD,-3.66,1414.16,-0.48
2026-04-24 17:55:00,EURJPY,-1.86,1412.3,-0.61
2026-04-24 23:35:00,GBPCAD,4.38,1416.68,-0.3
2026-04-24 22:00:00,GBPUSD,5.84,1422.52,0.0
2026-04-27 00:00:00,EURJPY,-1.08,1421.44,-0.08
2026-04-27 15:10:00,USDMXN,0.69,1422.13,-0.03
2026-04-27 17:50:00,EURJPY,-1.8,1420.33,-0.15
2026-04-27 16:00:00,GBPCAD,2.91,1423.24,0.0
2026-04-27 15:55:00,GBPUSD,-3.27,1419.97,-0.23
2026-04-27 17:25:00,XAUUSD,32.92,1452.89,0.0
2026-04-27 16:15:00,EURCAD,-2.01,1450.88,-0.14
2026-04-27 17:55:00,GBPCAD,-2.66,1448.22,-0.32
2026-04-28 00:55:00,EURCAD,1.01,1449.23,-0.25
2026-04-27 20:00:00,GBPUSD,-3.32,1445.91,-0.48
2026-04-28 00:00:00,EURJPY,-1.76,1444.15,-0.6
2026-04-28 02:50:00,GBPCAD,0.47,1444.62,-0.57
2026-04-28 15:20:00,AUDCAD,0.85,1445.47,-0.51
2026-04-28 18:00:00,AUDCAD,3.28,1448.75,-0.28
2026-04-28 17:50:00,GBPCAD,5.15,1453.9,0.0
2026-04-28 18:00:00,EURJPY,2.94,1456.84,0.0
2026-04-29 02:20:00,EURJPY,-0.15,1456.69,-0.01
