entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$,symbol,equity_$,drawdown_%
2026-03-02 22:10:00,2026-03-03 06:10:00,L,17.31519,17.30649,17.26681,17.41196,-0.18,time,-1.0,1.2,-2.2,0.1,USDMXN,1000.1,-6.57
2026-03-03 15:10:00,2026-03-03 16:30:00,S,1.822,1.82403,1.82403,1.81795,-1.0,sl,-2.93,0.43,-3.36,-3.26,GBPCAD,996.74,-6.89
2026-03-03 15:30:00,2026-03-03 16:25:00,S,1.58853,1.58593,1.58983,1.58593,2.0,tp,3.76,0.41,3.35,0.09,EURCAD,1000.09,-6.58
2026-03-03 15:30:00,2026-03-03 17:05:00,S,1.33087,1.32709,1.33276,1.32709,2.0,tp,7.56,0.32,7.24,7.33,GBPUSD,1007.33,-5.9
2026-03-03 16:20:00,2026-03-03 16:35:00,L,0.57309,0.57249,0.57249,0.57429,-1.0,sl,-1.53,0.46,-1.99,5.34,CADCHF,1005.34,-6.09
2026-03-03 16:35:00,2026-03-03 18:35:00,S,1.58803,1.58443,1.58983,1.58443,2.0,tp,5.2,0.41,4.79,10.13,EURCAD,1010.13,-5.64
2026-03-03 17:20:00,2026-03-03 18:15:00,S,1.32559,1.33151,1.33151,1.31374,-1.0,sl,-11.85,0.32,-12.17,-2.04,GBPUSD,997.96,-6.77
2026-03-03 17:20:00,2026-03-03 21:40:00,S,1.82264,1.82569,1.82569,1.81654,-1.0,sl,-4.41,0.43,-4.84,-6.88,GBPCAD,993.12,-7.23
2026-03-03 17:25:00,2026-03-04 01:25:00,L,0.57255,0.57178,0.57105,0.57555,-0.514,time,-1.96,0.46,-2.42,-9.3,CADCHF,990.7,-7.45
2026-03-03 18:50:00,2026-03-03 20:35:00,S,1.58468,1.58657,1.58657,1.5809,-1.0,sl,-2.73,0.41,-3.14,-12.44,EURCAD,987.56,-7.75
2026-03-03 19:35:00,2026-03-03 19:45:00,S,1.33112,1.33313,1.33313,1.3271,-1.0,sl,-4.02,0.32,-4.34,-16.78,GBPUSD,983.22,-8.15
2026-03-03 20:45:00,2026-03-03 21:05:00,L,17.6081,17.64708,17.58861,17.64708,2.0,tp,4.5,1.2,3.3,-13.48,USDMXN,986.52,-7.84
2026-03-03 21:10:00,2026-03-04 05:10:00,L,17.66774,17.70865,17.58853,17.82616,0.516,time,4.73,1.2,3.53,-9.95,USDMXN,990.05,-7.51
