entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$,symbol,equity_$,drawdown_%
2025-06-04 19:05:00,2025-06-05 03:05:00,S,19.19735,19.1952,19.21562,19.1608,0.118,time,0.25,1.2,-0.95,3148.77,USDMXN,4148.77,-1.59
2025-06-05 15:25:00,2025-06-05 16:20:00,L,1.35777,1.3603,1.35651,1.3603,2.0,tp,5.06,0.32,4.74,3153.51,GBPUSD,4153.51,-1.48
2025-06-05 16:10:00,2025-06-06 00:10:00,L,1.56191,1.56493,1.55869,1.56834,0.939,time,4.37,0.41,3.96,3157.47,EURCAD,4157.47,-1.39
2025-06-05 16:15:00,2025-06-06 00:15:00,L,1.85522,1.85522,1.85285,1.85996,0.0,time,0.0,0.43,-0.43,3157.04,GBPCAD,4157.04,-1.4
2025-06-05 16:20:00,2025-06-05 17:05:00,L,3382.45,3370.40226,3370.40226,3406.54549,-1.0,sl,-24.1,0.34,-24.44,3132.6,XAUUSD,4132.6,-1.98
2025-06-05 16:40:00,2025-06-05 21:45:00,L,1.36075,1.35696,1.35696,1.36832,-1.0,sl,-7.57,0.32,-7.89,3124.71,GBPUSD,4124.71,-2.16
2025-06-06 15:15:00,2025-06-06 15:30:00,S,0.88778,0.88888,0.88888,0.88557,-1.0,sl,-1.6,0.29,-1.89,3122.82,AUDCAD,4122.82,-2.21
2025-06-06 15:40:00,2025-06-06 20:10:00,S,0.88786,0.88926,0.88926,0.88505,-1.0,sl,-2.03,0.29,-2.32,3120.5,AUDCAD,4120.5,-2.26
2025-06-06 18:05:00,2025-06-06 23:50:00,S,19.1688,19.09179,19.20731,19.09179,2.0,tp,8.9,1.2,7.7,3128.2,USDMXN,4128.2,-2.08
2025-06-09 15:40:00,2025-06-09 15:45:00,L,0.89165,0.89122,0.89122,0.89251,-1.0,sl,-0.62,0.29,-0.91,3127.29,AUDCAD,4127.29,-2.1
2025-06-09 16:00:00,2025-06-09 16:05:00,L,0.89136,0.891,0.891,0.89208,-1.0,sl,-0.52,0.29,-0.81,3126.48,AUDCAD,4126.48,-2.12
2025-06-09 16:30:00,2025-06-09 16:40:00,L,0.89095,0.89179,0.89053,0.89179,2.0,tp,1.21,0.29,0.92,3127.4,AUDCAD,4127.4,-2.1
